"","Order","Suborder","Family","Subfamily","Genus","Species","genus_species","Feng_tiplabel","mod_tiplabel","Adult_habitat","Activity_period","Mating_habitat","Life_history","Larval_habitat","Sex_dichromatism","Sex_size_dimorphism","Female_max_SVL","Male_max_SVL","Pupil_shape"
"126","Anura","Neobatrachia","Bufonidae",NA,"Melanophryniscus","stelzneri","Melanophryniscus_stelzneri","Melanophryniscus_stelzneri_Bufonidae","Melanophryniscus_stelzneri_Bufonidae","Ground-dwelling","Diurnal","Lentic water","Free-living larvae","Lentic water","Absent","Unknown",NA,NA,"Horizontal slit"
"127","Anura","Neobatrachia","Bufonidae",NA,"Mertensophryne","micranotis","Mertensophryne_micranotis","Mertensophryne_micranotis_Bufonidae","Mertensophryne_micranotis_Bufonidae","Subfossorial","Diurnal","Lentic water","Free-living larvae","Lentic water","Present","Unknown",24,22,"Unknown"
"128","Anura","Neobatrachia","Micrixalidae",NA,"Micrixalus","phyllophilus","Micrixalus_phyllophilus",NA,"Micrixalus_phyllophilus_Micrixalidae","Subfossorial","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"Unknown"
"129","Anura","Neobatrachia","Microhylidae","Microhylinae","Microhyla","annectens","Microhyla_annectens","Microhyla_annectens_Microhylidae","Microhyla_annectens_Microhylidae","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Unknown",19,15,"Unknown"
"130","Anura","Neobatrachia","Microhylidae","Microhylinae","Microhyla","fissipes","Microhyla_fissipes",NA,"Microhyla_fissipes_Microhylidae","Subfossorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",NA,NA,"Unknown"
"131","Anura","Neobatrachia","Microhylidae","Microhylinae","Microhyla","fusca","Microhyla_fusca",NA,NA,"Ground-dwelling","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"Unknown"
"132","Anura","Neobatrachia","Microhylidae","Microhylinae","Microhyla","heymonsi","Microhyla_heymonsi","Microhyla_heymonsi_Microhylidae","Microhyla_heymonsi_Microhylidae","Subfossorial","Nocturnal","Unknown","Unknown","Unknown","Absent","Unknown",26,21.5,"Unknown"
"133","Anura","Neobatrachia","Microhylidae","Microhylinae","Microhyla","marmorata","Microhyla_marmorata","Microhyla_marmorata_Microhylidae","Microhyla_marmorata_Microhylidae","Ground-dwelling","Unknown","Unknown","Unknown","Unknown","Unknown","Females larger",23.17,21.47,"Unknown"
"134","Anura","Neobatrachia","Microhylidae","Microhylinae","Microhyla","pulverata","Microhyla_pulverata",NA,NA,"Ground-dwelling","Nocturnal","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"Unknown"
"135","Anura","Neobatrachia","Myobatrachidae",NA,"Mixophyes","fasciolatus","Mixophyes_fasciolatus",NA,"Mixophyes_fasciolatus_Myobatrachidae","Ground-dwelling","Nocturnal","Ground","Free-living larvae","Lentic water","Absent","Unknown",101,65,"Vertical slit"
"136","Anura","Neobatrachia","Myobatrachidae",NA,"Myobatrachus","gouldii","Myobatrachus_gouldii","Myobatrachus_gouldii_Myobatrachidae","Myobatrachus_gouldii_Myobatrachidae","Fossorial","Nocturnal","Ground","No free-living larvae","No larvae","Absent","Unknown",51,42,"Horizontal slit"
"137","Anura","Neobatrachia","Nisikabatrachidae",NA,"Nasikabatrachus","sahyadrensis","Nasikabatrachus_sahyadrensis","Nasikabatrachus_sahyadrensis_Nasikabatrachidae","Nasikabatrachus_sahyadrensis_Nasikabatrachidae","Fossorial","Unknown","Ground","Free-living larvae","Lotic water","Absent","Females larger",NA,NA,"Other"
"138","Anura","Neobatrachia","Ranidae",NA,"Nidirana","chapaensis","Nidirana_chapaensis","Babina_chapaensis_Ranidae","Babina_chapaensis_Ranidae","Semiaquatic","Unknown","Unknown","Unknown","Unknown","Unknown","Females larger",100,84,"Unknown"
"139","Anura","Neobatrachia","Arthroleptidae","Astylosterninae","Nyctibates","corrugatus","Nyctibates_corrugatus","Nyctibates_corrugatus_Arthroleptidae","Nyctibates_corrugatus_Arthroleptidae","Ground-dwelling","Nocturnal","Ground","Free-living larvae","Lotic water","Absent","Unknown",NA,NA,"Vertical slit"
"140","Anura","Neobatrachia","Nyctibatrachidae",NA,"Nyctibatrachus","humayuni","Nyctibatrachus_humayuni",NA,"Nyctibatrachus_humayuni_Nyctibatrachidae","Semiaquatic","Nocturnal","Plants","Free-living larvae","Lotic water","Absent","Unknown",50.6,46.8,"Vertical shape"
"141","Anura","Neobatrachia","Pelodryadidae","Pelodryadinae","Nyctimystes","kubori","Nyctimystes_kubori","Nyctimystes_kubori_Hylidae","Nyctimystes_kubori_Hylidae","Scansorial","Nocturnal","Plants","Free-living larvae","Lotic water","Unknown","Unknown",60,45,"Unknown"
"142","Anura","Neobatrachia","Pelodryadidae","Pelodryadinae","Nyctimystes","papua","Nyctimystes_papua",NA,"Nyctimystes_papua_Hylidae","Scansorial","Nocturnal","Unknown","Unknown","Unknown","Unknown","Unknown",60,50,"Unknown"
"143","Anura","Neobatrachia","Dicroglossidae","Occidozyginae","Occidozyga","laevis","Occidozyga_laevis","Occidozyga_laevis_Dicroglossidae","Occidozyga_laevis_Dicroglossidae","Aquatic","Nocturnal","Unknown","Free-living larvae","Lentic water","Absent","Females larger",61.6,41.6,"Unknown"
"144","Anura","Neobatrachia","Dicroglossidae","Occidozyginae","Occidozyga","lima","Occidozyga_lima","Occidozyga_lima_Dicroglossidae","Occidozyga_lima_Dicroglossidae","Aquatic","Unknown","Lotic water","Free-living larvae","Lotic water","Absent","Females larger",34.5,20.7,"Other"
"145","Anura","Neobatrachia","Odontobatrachidae",NA,"Odontobatrachus","natator","Odontobatrachus_natator","Odontobatrachus_natator_Odontobatrachidae","Odontobatrachus_natator_Odontobatrachidae","Semiaquatic","Nocturnal","Lotic water","Free-living larvae","Lotic water","Absent","Females larger",53.6,48,"Horizontal shape"
"146","Anura","Neobatrachia","Odontophrynidae",NA,"Odontophrynus","americanus","Odontophrynus_americanus",NA,"Odontophrynus_americanus_Odontophrynidae","Ground-dwelling","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Absent",51,46.01,"Horizontal shape"
"147","Anura","Neobatrachia","Ranidae",NA,"Odorrana","hosii","Odorrana_hosii","Odorrana_hosii_Ranidae","Odorrana_hosii_Ranidae","Semiaquatic","Nocturnal","Lotic water","Free-living larvae","Unknown","Present","Females larger",100,60,"Unknown"
"148","Anura","Neobatrachia","Craugastoridae","Holoadeninae","Oreobates","quixensis","Oreobates_quixensis",NA,NA,"Ground-dwelling","Nocturnal","Unknown","No free-living larvae","Unknown","Absent","Unknown",57.6,43.8,"Horizontal slit"
"149","Anura","Neobatrachia","Microhylidae","Asterophryinae","Oreophryne","variabilis","Oreophryne_variabilis",NA,"Oreophryne_variabilis_Microhylidae","Scansorial","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"Unknown"
"150","Anura","Neobatrachia","Hylidae","Lophyohylinae","Osteocephalus","taurinus","Osteocephalus_taurinus","Osteocephalus_taurinus_Hylidae","Osteocephalus_taurinus_Hylidae","Scansorial","Nocturnal","Plants","Free-living larvae","Lentic water","Absent","Unknown",101,92,"Horizontal shape"
"151","Anura","Archaeobatrachia","Pelobatidae",NA,"Pelobates","cultripes","Pelobates_cultripes","Pelobates_cultripes_Pelobatidae","Pelobates_cultripes_Pelobatidae","Fossorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",77,73.69,"Vertical slit"
"152","Anura","Archaeobatrachia","Pelobatidae",NA,"Pelobates","syriacus","Pelobates_syriacus","Pelobates_syriacus_Pelobatidae","Pelobates_syriacus_Pelobatidae","Fossorial","Nocturnal","Lentic water","Free-living larvae","Lentic water","Absent","Absent",83.6,83.02,"Vertical slit"
