,Order,Suborder,Family,Subfamily,Genus,Species,genus_species,Feng_tiplabel,mod_tiplabel,Museum,SpecimenNumber,Sex,Stage,SVL_mm,Mass_g,ED_right_mm,ED_left_mm,CD_right_mm,CD_left_mm,Ant_dis_mm,Post_dis_mm,PostLid_dis_mm,EL_R_mm,EL_L_mm,Measured_by
555,Anura,Archaeobatrachia,Scaphiopodidae,NA,Scaphiopus,couchii,Scaphiopus_couchii,Scaphiopus_couchii_Scaphiopodidae,Scaphiopus_couchii_Scaphiopodidae,NHM,92.10.29.59,NA,adult,54.7,16,8.2,7.6,5.5,6,9.3,17.2,NA,2.8,3.9,Kate_Thomas
556,Anura,Archaeobatrachia,Scaphiopodidae,NA,Scaphiopus,holbrookii,Scaphiopus_holbrookii,Scaphiopus_holbrookii_Scaphiopodidae,Scaphiopus_holbrookii_Scaphiopodidae,NHM,95.10.14.12,NA,adult,69.2,33,8.4,9.2,6.6,6.5,11.9,20.3,NA,4.8,4.5,Kate_Thomas
557,Anura,Archaeobatrachia,Scaphiopodidae,NA,Scaphiopus,holbrookii,Scaphiopus_holbrookii,Scaphiopus_holbrookii_Scaphiopodidae,Scaphiopus_holbrookii_Scaphiopodidae,NHM,95.10.14.13,NA,adult,62.3,21,8.5,8.5,6.4,5.5,11,18.7,NA,3.6,3.9,Kate_Thomas
558,Anura,Archaeobatrachia,Scaphiopodidae,NA,Scaphiopus,holbrookii,Scaphiopus_holbrookii,Scaphiopus_holbrookii_Scaphiopodidae,Scaphiopus_holbrookii_Scaphiopodidae,NHM,95.10.14.14,NA,adult,66,29,8.1,8.1,6.5,6.4,10.4,19.6,NA,4.1,3.7,Kate_Thomas
559,Anura,Neobatrachia,Bufonidae,NA,Schismaderma,carens,Schismaderma_carens,Schismaderma_carens_Bufonidae,Schismaderma_carens_Bufonidae,NHM,1908.2.14.14,NA,adult,88.4,62,9.7,9.3,6.5,6.5,15.2,NA,20.9,3.3,3.2,Kate_Thomas
560,Anura,Neobatrachia,Bufonidae,NA,Schismaderma,carens,Schismaderma_carens,Schismaderma_carens_Bufonidae,Schismaderma_carens_Bufonidae,NHM,1908.2.14.15,NA,adult,78.8,45,8.3,7.7,5.8,6.4,13.2,NA,19.1,3.4,3.4,Kate_Thomas
561,Anura,Neobatrachia,Bufonidae,NA,Schismaderma,carens,Schismaderma_carens,Schismaderma_carens_Bufonidae,Schismaderma_carens_Bufonidae,NHM,1908.2.14.16,NA,adult,61.1,18.9,7,5.9,5.1,4.8,9.5,NA,16.2,2.8,2.2,Kate_Thomas
562,Anura,Neobatrachia,Hylidae,NA,Scinax,ruber,Scinax_ruber,Scinax_ruber_Hylidae,Scinax_ruber_Hylidae,NHM,1946.4.2.38,NA,adult,38.8,4.5,5.3,5.2,3.5,3.5,7,9.9,NA,1,1.1,Kate_Thomas
563,Anura,Neobatrachia,Hylidae,NA,Scinax,ruber,Scinax_ruber,Scinax_ruber_Hylidae,Scinax_ruber_Hylidae,NHM,1946.4.2.39,NA,adult,40.1,4.3,4.8,4.7,3.5,3.5,7.1,10,NA,1.3,1.1,Kate_Thomas
564,Anura,Neobatrachia,Hylidae,NA,Scinax,ruber,Scinax_ruber,Scinax_ruber_Hylidae,Scinax_ruber_Hylidae,NHM,1946.4.2.40,NA,adult,37.5,3.9,4.9,4.8,3.6,3.4,6.8,9.5,NA,1.3,1.2,Kate_Thomas
565,Anura,Neobatrachia,Bufonidae,NA,Sclerophrys,brauni,Sclerophrys_brauni,Sclerophrys_brauni_Bufonidae,Sclerophrys_brauni_Bufonidae,NHM,1974.424,NA,adult,65,28.4,8.9,8.4,6.4,6.9,11.3,NA,17.2,4,4,Kate_Thomas
566,Anura,Neobatrachia,Bufonidae,NA,Sclerophrys,brauni,Sclerophrys_brauni,Sclerophrys_brauni_Bufonidae,Sclerophrys_brauni_Bufonidae,NHM,1974.428,NA,adult,93.2,66,11.2,11.4,7.7,8.1,12.4,NA,22.8,5.8,6,Kate_Thomas
567,Anura,Neobatrachia,Bufonidae,NA,Sclerophrys,brauni,Sclerophrys_brauni,Sclerophrys_brauni_Bufonidae,Sclerophrys_brauni_Bufonidae,NHM,1974.43,NA,adult,87.9,51,10.1,9.6,7.4,6.7,12.7,NA,20.8,5.1,4.5,Kate_Thomas
568,Anura,Neobatrachia,Bufonidae,NA,Sclerophrys,maculata,Sclerophrys_maculata,Sclerophrys_maculata_Bufonidae,Sclerophrys_maculata_Bufonidae,NHM,1994.983,NA,adult,47.2,9.6,6.4,5.9,5.1,4.9,8.3,NA,12.7,2.3,2.5,Kate_Thomas
569,Anura,Neobatrachia,Bufonidae,NA,Sclerophrys,maculata,Sclerophrys_maculata,Sclerophrys_maculata_Bufonidae,Sclerophrys_maculata_Bufonidae,NHM,1994.984,NA,adult,47.6,10.2,6.9,6.5,5.1,5,7.7,NA,13,2.5,2.5,Kate_Thomas
570,Anura,Neobatrachia,Bufonidae,NA,Sclerophrys,maculata,Sclerophrys_maculata,Sclerophrys_maculata_Bufonidae,Sclerophrys_maculata_Bufonidae,NHM,1994.985,NA,adult,65.2,24.2,8.3,8.7,7,7.1,9.9,NA,16.7,3.7,3.3,Kate_Thomas
571,Anura,Neobatrachia,Arthroleptidae,NA,Scotobleps,gabonicus,Scotobleps_gabonicus,Scotobleps_gabonicus_Arthroleptidae,Scotobleps_gabonicus_Arthroleptidae,NHM,1984.368,NA,adult,47.9,11.8,7.3,8,5.4,5.9,9.5,NA,14.3,2,2.3,Kate_Thomas
572,Anura,Neobatrachia,Arthroleptidae,NA,Scotobleps,gabonicus,Scotobleps_gabonicus,Scotobleps_gabonicus_Arthroleptidae,Scotobleps_gabonicus_Arthroleptidae,NHM,1984.37,NA,adult,49.8,11.2,6.8,7.1,5.5,5.8,8.9,NA,14.2,3,2.7,Kate_Thomas
573,Anura,Neobatrachia,Arthroleptidae,NA,Scotobleps,gabonicus,Scotobleps_gabonicus,Scotobleps_gabonicus_Arthroleptidae,Scotobleps_gabonicus_Arthroleptidae,NHM,1984.367,NA,adult,49.9,12.5,8,8,5.8,5.8,9.8,NA,14.8,22,2,Kate_Thomas
