clade,species,BM [g],ED [mm],n,source
acanthomorph,Spicara nigricauda,26.17,8.23,3,CAS/WFB
acanthomorph,Stellifer furthi,59.63,9.40,3,CAS/WFB
acanthomorph,Stereolepis ischinagi,279.60,16.30,1,CAS/WFB
acanthomorph,Symphurus atricaudus,15.27,2.92,3,CAS/WFB
acanthomorph,Symphysanodon berryi,16.03,11.10,3,CAS/WFB
acanthomorph,Syngnathus leptorhynchus,2.10,2.60,3,CAS/WFB
acanthomorph,Terapon jarbua,26.87,6.72,3,CAS/WFB
acanthomorph,Tetragonurus cuvieri,69.55,9.68,2,CAS/WFB
acanthomorph,Tetrapturus angustirostris,22.55,8.30,2,CAS/WFB
acanthomorph,Toxotidae indet.,77.83,12.50,3,CAS/WFB
acanthomorph,Trachinotus falcatus,50.67,10.53,3,CAS/WFB
acanthomorph,Trachinus armatus,29.17,8.33,3,CAS/WFB
acanthomorph,Trachipterus sp.,8.20,8.20,1,CAS/WFB
acanthomorph,Triacanthodes anomalus,10.40,10.15,3,CAS/WFB
acanthomorph,Triacanthus biaculeatus,108.07,12.13,3,CAS/WFB
acanthomorph,Trichodon trichodon,32.40,7.40,3,CAS/WFB
acanthomorph,Trichonotus setiger,1.23,2.78,3,CAS/WFB
acanthomorph,Trichopsetta ventralis,12.03,8.00,3,CAS/WFB
acanthomorph,Trinectes maculatus,26.90,3.77,3,CAS/WFB
acanthomorph,Urophycis floridana,2.00,3.45,3,CAS/WFB
acanthomorph,Valencia hispanica,8.80,5.25,2,CAS/WFB
acanthomorph,Xiphister mucosus,4.47,2.18,3,CAS/WFB
acanthomorph,Zanclus cornutus,26.23,9.62,3,CAS/WFB
acanthomorph,Zaprora silenus,59.30,9.10,1,CAS/WFB
acanthomorph,Zenion leptolepis,23.05,15.30,2,CAS/WFB
acanthomorph,Zenopsis nebulosa,15.53,7.33,3,CAS/WFB
