Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Ramphastos toco,Toco toucan,Birds (Aves),birds,Aves,,0.625,18.37,NA,NA,NA,Howland et al. 2004,Ramphastos toco,birdtree,,
Serinus canarius,Island canary,Birds (Aves),birds,Aves,,0.0162,5.496,NA,NA,NA,Howland et al. 2004,Serinus canaria,birdtree,,
Spheniscus humboldti,Humboldt penguin,Birds (Aves),birds,Aves,,25.046,20.5,NA,NA,NA,Howland et al. 2004,Spheniscus humboldti,birdtree,,
Spheniscus magellanicus,Magellanic penguin,Birds (Aves),birds,Aves,,25.29,27.3,NA,NA,NA,Howland et al. 2004,Spheniscus magellanicus,birdtree,,
Strix aluco,Tawny owl,Birds (Aves),birds,Aves,,0.4145,22.854,NA,NA,NA,Howland et al. 2004,Strix aluco,birdtree,,
Strix nebulosa,Great gray owl,Birds (Aves),birds,Aves,,4,14,NA,NA,NA,Howland et al. 2004,Strix nebulosa,birdtree,,
Struthio camelus,Ostrich,Birds (Aves),birds,Aves,,99.2008,44.22,NA,NA,NA,Howland et al. 2004,Struthio camelus,birdtree,,
Sturnus vulgaris,European starling,Birds (Aves),birds,Aves,,0.0762,7.92,NA,NA,NA,Howland et al. 2004,Sturnus vulgaris,birdtree,,
Sylvia atricapilla,Blackcap,Birds (Aves),birds,Aves,,0.007,7.75,NA,NA,NA,Howland et al. 2004,Sylvia atricapilla,birdtree,,
Acipenser ruthenus,Sterlet,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,37.19,6,NA,NA,NA,Howland et al. 2004,,,Acipenser_ruthenus,
Acipenser ruthenus,Sterlet,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,66.27,6,NA,NA,NA,Howland et al. 2004,,,Acipenser_ruthenus,
Alosa alabamae,Alabama shad,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,0.615,10.381,NA,NA,NA,Howland et al. 2004,,,NA,Alosa_pseudoharengus
